Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	138479733	54278721	74949273	9474003	5398281	1780758	3216213	418950	278.253907317244	288.386131957237	279.680741323219	208.690509042511	117.414565851511	118.662177057807	117.91234657847	76.23808418909	96.9090759789507	124.05027012747	83.8249420911962	75.537930400617	37.6026031669452	47.8291020888214	19.1099435970086	20.7790255447485	493.813013289024
Vertebrae2	134275239	58631391	64197252	11446596	5611284	2138850	2975868	498771	256.342151083948	264.41063459055	256.657627671635	213.244697373474	104.554702367219	102.991405220504	106.16654177333	92.266214247157	83.5307057016251	106.541828401045	69.1637341946668	75.9200239156269	30.0411334719365	32.5209888529495	15.3779954243865	28.2171316855497	537.864127800794
Vertebrae3	131561766	65206701	58409127	7945938	5482071	2380959	2738610	366471	256.975415438579	262.589210639892	258.81081283116	197.415294963703	105.001595873307	98.6015548543808	112.341662666489	78.622160744714	83.7869464510898	105.222305580851	68.5803675260009	66.9531857860427	27.8624952423873	27.3116280321091	14.4427706371937	19.4083078287193	594.543259443165
Vertebrae4	135886653	68855535	58881438	8594208	5652297	2521197	2753604	402192	252.439508452876	256.727533792051	254.958695716227	196.939293099502	101.580993792525	96.735605781972	108.396751386942	69.4576722620397	86.4168468587311	109.10911865731	69.7099437153753	66.5904092020391	32.2668469639761	34.5339931698223	15.2247768138671	17.54186415613	652.236428013579
Vertebrae5	132923133	68735142	56936628	7538454	5601141	2598813	2660112	358092	249.991357772377	255.506897253112	250.634695674541	192.168568499741	100.741332123605	96.4936810250988	107.149188283266	63.3290149561446	84.0363647932563	102.738257277252	70.1034508326181	60.9463025884255	29.0245036180903	30.8599978249434	15.5905364866326	13.6316292997073	645.032436690375
Vertebrae6	129181689	69485283	53371143	6269697	5469282	2646000	2524284	296793	253.009938726952	261.435489641155	250.254437686696	183.739381358475	101.62633787266	100.129774400763	104.077442979051	61.491497968113	82.2186728982671	101.628206815265	65.7970519005035	61.7920129911658	29.9525200785852	31.3820801015	13.9132977410169	17.2801881229948	641.436456292583
Vertebrae7	110150334	64465821	41730066	4139667	4549797	2379636	1982295	197127	247.100449095592	258.831751217898	237.67775829688	154.683106810704	99.0806631996037	101.089811013614	94.6023936841986	28.6788286615589	82.8044702059181	103.888068426673	63.0011593338109	47.9712866879003	32.3573617203667	31.8293893127063	12.6846871470652	8.12263139460639	675.656772723918
Vertebrae8	87590538	54186111	27884871	5362119	3846402	2265417	1326969	255339	226.108253607024	238.638201764389	211.706132283921	175.950601504311	84.2824826415545	89.4391261121506	73.0728543765788	46.337013468248	75.3428287502383	89.609135733057	59.5083792151439	53.5707657012798	25.5987373261596	25.2867786664337	12.4032782444407	10.1635591488035	697.894992860978
Vertebrae9	65299311	47360754	13817412	4121145	2922948	2078433	653121	196245	215.935890940745	229.772106312978	182.73240834205	168.25317324109	79.4356315955137	82.8747537428347	58.1567336764401	39.4171984893916	71.9473537284985	81.68973021752	55.7954981437234	51.5675354416932	22.9654234363184	20.6133103835635	17.1655135744172	8.65091152406062	688.189705790658
Vertebrae10	60844770	51500421	5158377	4278582	2667168	2224845	243432	203742	224.924888786922	229.983567245003	209.728172489077	180.838070396523	79.9626112209444	81.2763642784697	70.2116024472211	55.4565292967787	79.5043637065159	83.6740579924613	68.6850155677267	55.0380391205138	20.9388085320043	19.7654650453097	17.6379360261778	10.8781562456686	680.050635975793
