Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	133284312	53426709	67401558	12798702	5299056	1922760	2878848	524349	451.681424	432.4740625	471.0525208	427.722111	0	0	0	0	92.45011289	109.6077008	81.69074449	90.09911679	31.48588134	38.00405033	20.38568583	29.59202396	506.7508581
Vertebrae2	124662321	57871989	56760669	10242666	5120451	2115036	2566179	457758	438.7919205	453.0476646	433.6223787	384.166191	0	0	0	0	87.48822235	109.7574323	72.29501169	78.34783898	30.25348252	32.66876294	16.59347417	19.66810359	557.3942329
Vertebrae3	118411146	60168717	50370579	7890372	4985946	2273355	2359791	357651	431.5245843	446.0309076	418.6585241	402.6492214	0	0	0	0	82.9856558	104.5924087	65.57252846	75.99712161	29.47309056	29.57475201	15.33308321	18.12460854	559.0028315
Vertebrae4	126458955	63761985	52880310	9816660	5296851	2395512	2465190	444087	436.3713288	454.7801875	416.0874065	426.0658607	0	0	0	0	83.36576269	103.5822569	66.55540103	80.87071505	27.23960972	25.91975418	15.22097431	19.45917102	577.6108416
Vertebrae5	134080758	65327094	59390793	9362871	5458257	2379195	2678634	430857	438.6865619	450.0770663	434.2113918	387.5991707	0	0	0	0	87.53313541	107.9015785	72.45879513	76.06573034	29.86733015	29.22325899	19.93744443	21.85055675	579.0383901
Vertebrae6	129376170	64410255	55315953	9649962	5408424	2451078	2515464	445851	422.7998547	438.107011	410.0603527	393.6556831	0	0	0	0	86.52912471	105.7294027	71.87744269	74.31632747	28.93598207	28.03858067	20.41397912	16.61825762	588.8466654
Vertebrae7	130098528	66373587	55325214	8399727	5296410	2432556	2487681	379260	439.8195068	454.1565993	428.3959472	401.7714395	0	0	0	0	89.31971819	107.3464253	74.95372341	75.20615085	28.40703351	27.89468798	19.07768383	19.50549322	599.9854833
Vertebrae8	101398689	56399490	38618370	6297480	4187736	2135322	1772379	290619	425.6840359	448.8602978	399.2195857	380.8344432	0	0	0	0	86.767526	102.0877943	72.10605688	72.65007527	26.90829975	24.52928241	20.29691378	18.92460808	536.8169393
Vertebrae9	98296254	64206513	29005452	4852764	3531528	2003022	1315503	227115	461.8399659	498.4120803	395.9778648	375.1481608	0	0	0	0	103.5430467	126.3537845	73.10427369	67.48165507	46.32273523	45.56470135	23.94856016	20.13500619	479.4495302
Vertebrae10	92572956	74754792	10779804	6547527	3032316	2231460	493479	295911	472.712786	491.7795121	390.5476078	398.0020189	0	0	0	0	117.3695883	133.6455095	67.91597374	75.62956642	50.21247391	46.6893053	24.76233237	21.61211932	503.0986941
