Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	105556878	35867853	62965539	7112448	4341204	1293894	2809170	328986	388.4946614	413.3463218	384.4875786	295.9999028	140.390858	151.6227051	133.8866254	81.03105714	89.1912001	114.1341525	80.80548251	67.24484328	31.50301795	38.60937452	20.57350087	20.87108805	549.2418751
Vertebrae2	105881013	50111271	50916978	4815720	4440870	1838970	2392425	217413	381.4964324	410.0120462	361.1359496	301.8780298	135.4807324	147.8137532	118.2977923	94.11341979	82.42292453	107.217627	65.76496249	71.78196057	35.2490901	41.00073105	15.60205452	28.11440989	615.7642718
Vertebrae3	99546489	54621378	39099942	6001128	4169214	2049768	1846467	281358	361.9068466	384.8020526	341.4460084	285.0199304	122.8172235	129.3235642	109.6077082	80.7947382	80.98245054	105.8139511	59.95586416	62.40218124	36.92958405	40.0257804	14.00095695	19.17206655	595.480976
Vertebrae4	112058100	59001831	47712672	5167638	4865112	2396394	2229255	232407	362.6519245	369.0601717	360.692212	311.328049	114.2314445	113.5654371	114.4005376	106.459295	80.28643824	93.42232767	69.07835562	69.11163668	25.43662765	27.33732218	15.79807848	23.89146407	648.2483167
Vertebrae5	119578032	60715116	53315577	5278770	5130594	2393307	2496060	241668	369.2679825	377.6383473	365.4883371	315.895636	120.2553965	117.8502001	122.8770338	104.6532223	81.84487538	99.49968921	67.55157013	68.84784049	29.75745736	33.21466123	15.562006	21.13699225	679.9491108
Vertebrae6	104084379	60455808	39618558	3815532	4513635	2452401	1872486	180369	354.037244	364.5692572	342.6311926	307.2971029	112.2987698	115.3902826	106.9514527	92.96584165	77.6869947	88.73950021	66.11323656	62.82063005	25.63174111	28.3910352	14.51927921	18.36164551	671.96477
Vertebrae7	83571264	54149067	24532389	4889808	3434949	2036097	1166004	232848	376.4631839	403.7726273	331.7581077	298.3295314	137.3138053	148.306919	97.58258438	80.95158483	83.83151817	101.4005168	61.26325699	59.40893263	31.85613114	30.6427417	14.05708902	11.78308579	629.3004752
Vertebrae8	74634399	54575073	14771295	5288031	3308823	2353617	703395	251811	336.6330249	352.2256346	293.9469098	294.9466923	102.9912209	107.4802933	75.01173888	73.84140777	74.65675729	85.07076743	53.71141261	61.31463599	24.54471073	23.51796299	10.49199701	11.61145887	725.3199614
Vertebrae9	64558431	52759917	8797950	3000564	2600577	2049768	413217	142884	384.6746503	404.7077487	296.030634	292.3390143	152.6323544	156.5759947	91.21166592	84.84734321	88.44284215	99.04327756	57.25092735	57.463849	37.5342448	36.65952686	18.66360097	12.06218743	642.6210714
Vertebrae10	57899772	52139430	3009825	2750517	2430351	2158695	143325	130095	360.3148017	368.0274953	284.0327741	297.5848133	121.2407866	122.5994717	66.47648403	91.00628001	85.53023373	89.32086561	61.32511402	60.45808895	28.09634569	27.50857793	17.2813927	17.6909129	659.0444052
