Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	133941843	52787700	68031306	13715541	5399604	1731366	3090087	616959	277.8823796	281.8536025	283.495752	233.1890432	118.9121615	117.4402689	122.8268775	91.27204331	92.57276382	124.972275	75.7859587	83.64107144	37.320818	43.67710793	19.64449101	19.94541122	498.0497781
Vertebrae2	110993085	50602104	53019225	7371756	4752216	1887039	2520756	347067	253.4088241	264.2265048	248.432418	214.9441472	101.6522337	102.8580324	100.2305196	90.92385271	78.21061478	105.3927883	61.18869912	64.404117	31.72598875	34.62600762	11.88592502	16.96120409	556.131915
Vertebrae3	110817126	56538405	46832877	7677369	4754862	2180745	2228373	357651	245.4000503	256.3452018	238.8399236	203.3063863	95.58186599	94.8721208	95.61338668	84.5941386	76.79737669	101.061837	58.14636088	64.63870951	30.45093353	30.69532392	10.71673603	21.76795961	594.594985
Vertebrae4	118781586	64808478	47397798	6575310	5007114	2455929	2248218	304290	246.9219599	262.3259848	232.8358795	196.6334996	94.25595295	96.1382958	89.25846945	75.39569735	80.52124762	103.0371759	60.5576914	64.78055502	31.07508851	30.34376266	12.61255842	19.6018202	623.1795451
Vertebrae5	119948472	64252818	50639148	4954635	5126625	2503557	2383605	235935	248.2999851	258.9298212	240.6086734	190.255199	95.91275219	95.57914249	95.99529708	67.2302297	80.9941811	101.2643668	64.17431553	57.55969321	30.18078541	30.57801241	15.07376907	14.87194556	648.2402952
Vertebrae6	112937895	66790332	42878430	3232089	4723110	2583378	1984941	153909	251.8342732	262.6772576	241.1783516	170.0526733	99.84563255	99.03944253	100.1512845	43.63071995	83.47960253	100.4984222	66.81116561	51.9171349	29.67869263	28.70308688	17.55776657	11.83146993	664.0734034
Vertebrae7	95267907	59085180	33784128	2370816	4103064	2385369	1603476	112896	244.2539421	259.1767323	224.5138078	154.8770128	94.48348099	96.08564999	87.25402355	30.9296266	78.1000292	95.81525291	58.9954992	45.68519139	28.49095286	26.67432821	12.30166783	6.969449731	662.2642237
Vertebrae8	69235236	44749152	21939309	2546775	3180933	2014929	1044729	121275	225.391367	239.4341113	204.6892285	156.9870978	84.29757323	87.48360929	72.92849097	32.82189789	68.37417456	79.63223802	54.86707011	46.79332526	20.22572372	18.72400163	10.51534627	7.730554625	677.855344
Vertebrae9	58344300	46267956	10613106	1444716	2602782	2030364	504945	68796	228.2441094	242.0584507	178.1512027	154.825699	87.90225884	89.96217142	54.49833574	32.37043276	73.12905181	82.62050298	51.78433739	48.64931708	22.84625523	18.87211761	15.42106013	10.53235089	703.8337349
Vertebrae10	54325026	46999575	5093550	2231901	2418885	2081961	241668	106281	236.0829732	242.5340009	207.7588677	164.8767159	89.79278704	90.99162053	74.05836925	40.43938062	76.68444922	80.33542512	65.46051085	49.91012602	18.84395397	17.17464472	17.41187466	10.81794802	679.3197973
