Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	197648262	73013724	112900851	12159693	7721910	2479302	4716054	560511	570.605288	577.6262184	575.4335211	480.6277748	215.4224657	222.1650953	213.7392763	161.6613963	99.80598518	123.8366226	89.81589553	75.33949405	38.95479641	51.08878948	24.13895912	19.81467005	661.1761055
Vertebrae2	185433003	57325590	114929010	12761658	7743960	2078433	5082966	590940	531.3181514	548.6679695	532.7647584	446.0438641	193.9360982	198.4942742	194.3588808	139.8761358	85.64305562	107.5849334	79.18303678	68.52465632	29.83748681	39.80100034	19.64289511	22.83512537	694.1296043
Vertebrae3	203556780	61706043	130163355	12131910	8742384	2471364	5727708	575064	516.3619752	499.5730128	531.9582139	430.2846114	178.6522903	155.5034877	189.9546015	123.1894412	82.06649126	94.77400224	79.40757254	59.05056485	25.11743895	32.24896788	19.63503288	13.76637811	750.2578591
Vertebrae4	211113756	71726445	129811437	9927792	9133551	2924271	5762547	467460	523.7569194	502.4393762	539.9991122	460.4717827	185.302826	159.5495272	198.9385697	137.8632002	82.00244694	93.22433489	78.17847621	64.3923612	23.78585119	28.93327958	19.12664339	15.23241275	756.3249605
Vertebrae5	217281582	80163216	128783466	8770167	9189999	3187107	5607756	417627	541.4922124	529.5602781	556.9628892	416.8128242	197.714321	184.8926982	206.2898846	110.6328752	84.24215662	94.02584304	81.54803117	53.52264548	24.12496773	26.99600266	20.1283605	9.580409878	758.0043296
Vertebrae6	205464546	78348060	117373914	9724050	8904672	3217977	5223204	463050	517.4901351	508.8814018	527.8802056	461.8852667	181.8230273	166.800074	193.4306128	133.0223146	81.65362818	90.82765903	78.70361222	57.45851039	25.18272246	29.11932298	21.24214884	9.223415722	751.3759695
Vertebrae7	217679805	82506249	126181125	9640701	9193086	3181815	5585706	458640	516.3951002	519.6929541	521.1914324	417.2566182	182.6194119	170.2529887	192.6191371	104.8570953	85.97687586	101.778675	79.95104215	56.12053519	31.13853352	38.08758104	23.09515861	10.00112538	824.56628
Vertebrae8	183617847	74754792	100000278	8862777	7986069	3004092	4561263	422037	503.5526079	505.2791629	510.393407	411.803704	171.4764794	166.0045235	178.1541061	98.5285207	82.49950323	94.80603138	77.38547515	54.89436653	27.92092441	33.87951909	20.17787718	9.341469618	782.9609702
Vertebrae9	131719203	60715116	61919046	8844255	5977314	2641590	2903544	421155	470.9873289	483.0167885	464.2302617	436.940463	146.7537717	152.2642331	143.9958454	116.6803926	74.27322518	82.58680484	69.95156016	57.73781687	20.53065423	21.52130503	17.89613324	9.64105725	821.5702566
Vertebrae10	113752863	63521199	42637644	7436583	5178222	2810493	2006109	354123	457.5504823	458.8181532	465.7594557	400.4818152	138.3798293	138.4103137	142.5251157	94.45055529	72.74329357	79.38365538	67.83044751	56.57695117	20.20198749	21.88351003	16.01757348	9.634087972	889.905311
