Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	185423742	56214270	112002534	16919847	7114212	1862343	4554648	728973	402.5223615	380.2666214	425.2722616	325.2759099	0	0	0	0	99.80642062	124.9306332	92.68255614	81.28079257	33.39464725	42.848217	23.08663045	26.22569993	508.5083504
Vertebrae2	199417113	55473390	126940527	17169894	8046045	2046681	5320665	747936	389.7364191	380.1884498	403.6229869	318.6818022	0	0	0	0	92.36060596	110.0318195	88.08894262	78.31205289	27.72517287	38.5109349	18.90832784	26.18163529	648.3426594
Vertebrae3	193415985	71995014	108538920	13576626	7921242	2746989	4623885	591381	388.8315567	357.2099416	414.8379316	343.4227786	0	0	0	0	90.90583402	105.3354481	83.73380568	85.62997815	26.21112823	31.86807151	18.87569277	23.97328444	598.4455193
Vertebrae4	206288775	77810922	113382423	14993559	8385174	2907954	4837329	648270	391.7718213	367.3225448	415.5296391	340.0146583	0	0	0	0	91.95045122	106.5616648	84.33526188	86.8476272	26.45294245	31.36205011	19.36223912	23.60408365	667.735644
Vertebrae5	203955003	82237680	109585413	12057822	8349453	3069801	4725756	556542	383.3149845	365.9121018	403.7041621	317.6059133	0	0	0	0	91.21484418	105.1952613	84.42430868	75.53153165	23.93979914	26.61099267	17.92326317	18.056737	688.0177796
Vertebrae6	194314302	82256202	102824883	9233217	8030169	3152268	4454982	428211	375.8806589	358.843808	395.4268463	309.9829576	0	0	0	0	90.01169558	101.1805462	84.31576151	71.59293273	24.29990526	26.82089395	19.40812427	18.58558441	746.2580878
Vertebrae7	172161990	74319525	89377911	8214507	7207263	2889873	3916080	389403	369.0094613	352.8646282	390.6887718	282.4165675	0	0	0	0	87.93618701	96.82043638	84.20476405	64.509216	24.30221356	27.20254163	19.87350549	14.53940242	676.4610171
Vertebrae8	138405645	62539533	65929059	9436959	6060222	2657025	2939265	443205	358.1445061	340.9467255	382.083952	308.4225849	0	0	0	0	84.62012129	88.81290079	83.23512473	72.11090641	19.03815936	18.52623994	18.8491365	15.63360742	715.009427
Vertebrae9	131126499	67744215	57223719	5751081	5702130	2930886	2513259	269010	360.5613663	343.7027204	386.8386525	302.142404	0	0	0	0	86.23589089	87.48791793	87.16709783	67.88349052	21.13124623	19.56884675	22.08226882	17.56552475	705.9115574
Vertebrae10	74236176	59103702	8297856	6566049	3231207	2524725	390726	303849	332.67601	340.7611609	290.0151095	315.7211361	0	0	0	0	82.69059223	87.15492374	66.46162164	72.46967581	19.61484648	18.31788403	16.77811583	16.77980199	670.3132141
Vertebrae11	75069666	58233168	9631440	7047621	3257226	2481066	444969	328986	343.455436	347.8727437	347.4102627	303.4350331	0	0	0	0	83.37139034	86.81817385	74.36169244	72.43974831	20.1899045	19.83795794	18.61812713	16.59412811	676.8842009
Vertebrae12	71004087	54973296	9751833	6047433	3079503	2333331	454671	283122	344.0655117	350.7441954	327.4376687	312.4073187	0	0	0	0	83.40157889	87.71989733	71.91545723	70.72639355	20.69945853	20.18697634	17.43231283	16.46659838	647.2708334
Vertebrae13	76375467	57899772	10511235	7751457	3346308	2487240	496125	358974	336.3845298	340.8837698	331.9382741	309.886041	0	0	0	0	81.99743056	86.44577726	66.59457493	76.1469213	19.92559252	19.33409539	14.94556776	17.33382987	671.0993424
Vertebrae14	72208017	54982557	9807399	7047621	3112137	2306430	463050	329427	343.74082	349.6500615	329.5583141	319.6626079	0	0	0	0	83.97894599	88.98447057	69.51053297	73.70616156	21.06374433	20.71024351	14.84907913	17.02947052	629.3676988
Vertebrae15	67410819	51870861	8260812	7195797	2949849	2226168	391608	329427	337.1319095	342.0630886	327.5239243	312.9493024	0	0	0	0	81.67101467	85.92550737	67.07781925	74.17030006	19.22319473	18.55088083	12.70801381	18.68148263	621.8728018
Vertebrae16	62539533	48212766	7797762	6140043	2730231	2060793	370440	281799	338.5201017	347.7044938	318.7206497	295.4038737	0	0	0	0	81.86883394	87.12992217	65.55487892	71.73082331	20.97746592	20.2375623	13.69859588	18.28984542	591.9389317
Vertebrae17	56353185	43619310	6797574	5602905	2526930	1931580	323253	260631	326.2892921	336.263547	304.6179258	276.3941857	0	0	0	0	77.80997244	82.92032619	62.66318716	65.814874	19.43656458	18.08861392	13.83290719	18.39440153	600.6436685
Vertebrae18	53565624	41637456	6556788	5093550	2381841	1830591	310464	232407	323.3935229	334.3935072	295.1367861	272.9607208	0	0	0	0	76.97087741	81.59783989	63.9076552	65.73148514	21.3199784	21.01007029	14.68861477	19.05147584	567.1679431
Vertebrae19	49814919	40155696	4982418	4334148	2260566	1803690	237258	203301	316.9094542	324.4237785	299.6927007	273.1864262	0	0	0	0	73.99361969	78.17726997	59.40063769	62.37193992	19.75439135	19.45437661	10.70408699	16.38490504	564.1582727
Vertebrae20	49388913	39822300	4454541	4630500	2233665	1781640	212121	218295	316.7178302	327.3907753	277.8631603	268.236818	0	0	0	0	73.85777886	78.60567347	57.14159285	61.35009405	18.21247633	17.11066203	10.57525518	14.29008368	561.1254829
Vertebrae21	44406495	36034551	4084101	3667356	2009196	1619793	194481	168021	314.4262541	323.207693	278.2179188	277.4306031	0	0	0	0	73.82030639	77.71873829	58.30987961	65.60761263	20.94836357	20.93206082	13.33836647	16.84911745	527.1858787
Vertebrae22	47842326	39507426	3417309	4241538	2161341	1767087	162729	199332	315.7900422	324.6169103	282.1024565	268.0154078	0	0	0	0	74.68019876	78.78087292	58.41917671	63.62246975	20.80480718	20.58737265	11.83690899	14.90298746	569.6048876
Vertebrae23	42387597	34265700	3463614	3797010	1911735	1528947	164493	177282	316.9632431	325.6193271	286.8768847	279.9165158	0	0	0	0	73.84712742	78.27095858	59.22248953	61.32359042	19.69604855	18.93259072	13.45641073	17.08080934	494.5561755
