Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	62196876	24032295	33117336	5417685	2672019	896112	1539972	257103	193.3370786	194.6904318	201.9653346	131.2036665	115.3646738	113.5053647	119.4197168	68.26140371	81.71304323	106.8946131	71.53441305	60.54392804	31.30808708	38.86281826	16.20038404	17.77834225	393.3192055
Vertebrae2	57288546	24171210	29255499	4139667	2548098	973287	1391796	196686	174.8460358	180.7873019	176.4224313	125.8330878	95.03491447	93.59172853	97.43868893	67.44001311	71.03287993	91.82299514	60.42514991	57.12978032	24.10845981	27.33263985	11.29334364	14.26822127	428.2780525
Vertebrae3	56251314	27079164	26449416	2954259	2518992	1131606	1257732	140679	166.4317748	173.3807538	164.9650958	113.3586307	89.17975196	86.62267712	92.886315	50.5307815	69.82385997	87.44031682	58.9555819	52.80223888	24.85257467	29.07121327	11.22184071	10.50772313	514.0820066
Vertebrae4	53185923	24773175	25847451	2565297	2410947	1058400	1230831	122157	162.6780438	161.434585	169.3219963	107.7429565	83.89353484	74.52877772	92.93812955	42.48528078	68.98881927	86.00759616	59.25418135	48.75509376	22.83852255	25.35037501	11.40780866	11.03192251	461.9438436
Vertebrae5	54797337	26282718	25958583	2722734	2465631	1108233	1235682	129654	163.3304931	163.7279929	169.3914775	99.99916007	85.76377758	78.77822215	93.22461008	32.78633929	69.6710046	87.664484	58.88599236	47.90235115	24.27121546	26.84459036	11.57930158	8.059410783	496.0539677
Vertebrae6	53695278	26903205	24189732	2602341	2428146	1153215	1151451	123921	160.3853059	163.249514	163.5007416	101.8157587	81.27883518	77.34689409	86.52482081	35.98769394	68.71434374	83.49416769	58.74151389	51.1284774	21.49875494	23.18072957	11.38667501	8.67134007	529.1115419
Vertebrae7	53982369	28171962	23319198	2491209	2381400	1152333	1110438	118629	156.5084517	161.5965213	156.4088585	99.90201396	80.14161561	77.74288554	84.11900955	33.4940826	71.63657426	91.54253176	57.11881988	50.12918462	26.31631417	27.14719846	10.84912878	8.976335818	505.6604718
Vertebrae8	44397234	25884495	17392158	1065015	1953189	1071630	828198	50715	153.6424157	162.0149896	145.4567535	87.50550721	73.91294748	75.32480276	70.82309051	22.99807349	71.81341454	89.53680206	55.50926068	46.3763766	25.69284928	24.86003371	10.33843699	7.292087785	497.3725426
Vertebrae9	33515559	22772799	9705528	972405	1524978	1013418	462168	46305	145.3147479	158.7731031	119.5423787	88.89627566	71.66347772	76.05791954	51.40395244	30.80431433	65.86925368	78.39580125	49.75217915	43.90361966	20.09296142	16.91306718	8.600970174	5.439058995	545.1752166
Vertebrae10	25458489	22226400	2213379	1018710	1141308	987399	105399	48510	157.6299972	162.9609118	134.736094	91.06133957	75.26883009	75.61293673	66.99247606	30.82984195	74.16444429	79.84708803	53.84858082	45.57100883	19.69233179	16.77249009	13.01850419	8.038472839	494.1396204
