Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	158955804	61418952	84617757	12919095	6340257	2171925	3594150	577269	551.035920139232	561.688396747621	552.76376044776	489.075703819619	190.005375036622	195.428379283217	187.156604541681	169.857494121723	94.6484948285331	113.556932764273	86.2421433132032	76.9424630301289	31.4987434270377	39.0890282023265	20.0871103514325	23.6834532108154	530.201001422541
Vertebrae2	152297145	62224659	79570512	10224144	6621615	2476215	3655449	476721	505.812899716696	516.371449812732	505.621437488151	445.396104402625	160.545099568972	157.721132696364	164.123368967097	134.54983646154	79.910729427718	94.1258929911136	72.961147968454	65.067300675404	23.6912794764528	26.3589858862586	17.2943091654592	17.4216863493251	680.933963367245
Vertebrae3	152889849	65734578	76903344	10224144	6689970	2645118	3562398	481131	494.030470297939	505.789021001047	490.410671994953	446.006123042231	155.325579598281	154.726964902861	157.922283390774	126.316441834724	79.9763861306198	94.3768432111069	72.2228265828882	64.0818683279828	24.6798869176704	26.7084753499895	18.6057639364196	15.6974732644451	719.042624668019
Vertebrae4	156816513	68716620	77079303	10890936	6839469	2774331	3546081	517293	497.620505828794	503.06719998118	502.806110107568	428.243959260902	151.760184578815	151.202698393117	155.326344462113	105.747070494333	81.8656030574169	94.017911698684	75.9673957802192	62.4696056721867	23.3930234197754	25.489802017072	17.9373597899712	13.9369911369458	758.890999589494
Vertebrae5	171597069	73782387	86414391	11955951	7498323	2961756	3995901	568449	502.671640896257	510.100588728677	507.545413291381	418.034549741525	155.493918440286	157.421118493218	156.630314731087	99.4756229863918	81.6206240323657	94.5213913003036	75.5419108643808	59.474084866852	24.6253996223213	28.8442856011733	16.4665473236164	12.7439040253681	782.728318833158
Vertebrae6	161289576	75625326	77310828	8094114	7086870	3096261	3593268	385434	497.0327957118	501.57675131766	500.884512179102	420.729259302484	156.604782779067	154.610670571911	161.627221325705	95.6232795908649	79.3586508744005	91.6806514522733	71.8353443764567	57.6346353360441	23.7271055694444	25.6969591357612	17.2411634525441	10.4452263585237	801.621979366332
Vertebrae7	161391447	75097449	75903156	10168578	7035714	2974986	3566808	484218	497.46382382936	516.829910616351	488.150866127115	425.035944904265	153.259491349279	159.159880712286	149.177391962644	103.387607493033	78.5827948266123	95.7057380943295	67.655518808644	58.1946715082701	25.3298853200695	26.9445906150778	15.0984523368254	11.371046168743	799.710705122937
Vertebrae8	132830523	67679388	55806786	9344349	5878530	2799027	2635416	444087	483.173792439362	500.226556106643	470.22296357058	437.009370122994	146.817491782636	154.773861744243	139.466030740684	107.419685361852	75.6109376479227	89.212892003684	64.5584714752037	60.4942008385045	24.8357151038357	27.3053231918613	14.7301611456321	12.919326640055	768.475993213752
Vertebrae9	109279800	65919798	35080668	7807023	4902156	2853711	1657719	368235	472.455481656205	485.528435061647	459.295018553269	425.106053633612	140.773472636792	145.141085312461	135.462212390717	109.5970965662	75.121917700149	84.1859893088991	63.9910538775385	63.5618152502106	22.5533307951483	22.8432196139275	16.2567868925701	16.0382119327403	838.642334683556
Vertebrae10	75541977	66188367	3269133	5899257	3255462	2810052	155673	280917	480.828419765011	491.722384289642	402.119067819914	403.567569730702	148.788600886633	151.784197464788	101.657066589069	90.0285747384912	81.4490787687099	86.449757013859	52.8024253413218	57.5535732573689	25.0668756254018	24.0095519244209	11.5072285761402	9.10970421855307	811.814228713662
