Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	66697722	27801522	34256439	4547151	2875320	1058841	1602594	215649	366.274334021935	377.405634075005	363.43927815577	322.329560086439	135.057932197439	135.656076588008	136.197541519114	110.466020348862	77.3829650171219	101.460258512767	65.3467156612463	61.5115417410833	31.2889125066627	38.1857822924188	16.381359811399	16.0094699926247	420.471828947857
Vertebrae2	61770870	25171398	31255875	5260248	2786679	1053990	1479114	249606	338.595056732938	358.186309054545	331.51754638737	287.612629875505	115.011288335956	118.643059028267	112.571215876143	88.6837505438656	67.1433954625473	85.838587098217	58.5656140843569	53.2400368472164	21.9026268525188	23.6497463978737	12.7828151101253	14.3306600483733	429.733555426648
Vertebrae3	65290050	28773927	31135482	5380641	2940588	1212309	1474704	255339	332.468715757355	350.307583172354	320.762969861559	304.808400169176	109.967762811585	111.223879912006	108.703445542174	94.7809426541978	68.8638940345988	89.019790486072	57.4292534254055	57.9471263008721	23.6133919810545	24.1572280787563	13.5179509957045	14.0265330764447	438.415355332473
Vertebrae4	65086308	32311629	27958959	5121333	2945880	1387827	1330497	243432	334.829200597895	357.511708135656	318.878744816359	277.132496374975	111.574457077227	118.691761995032	101.809307670492	73.409006600102	69.1106387049768	85.2938329189161	58.2601417363956	55.0767866075479	21.4549851665175	21.3293987778629	11.8033891404736	13.4214975539676	490.16799502483
Vertebrae5	60224283	30339036	25773363	4111884	2723616	1306242	1221570	195804	330.992343384971	355.808760317624	311.530483325362	269.874718778043	115.706588358258	123.773376123	104.085454970587	67.3028244282442	68.591263556875	83.5145522041208	58.3720373644962	53.4889271162354	21.7036865633741	22.4494318439077	13.1630071653207	9.52245273552041	489.031609095309
Vertebrae6	60641028	29190672	28116396	3333960	2733318	1243179	1331379	158760	332.102540419032	355.329006309006	315.779189587499	266.402186639404	112.347787835805	120.414081849572	101.651686118884	65.1579537417887	68.6087727843831	83.9479969069789	59.2992913714373	49.1485602769538	22.3545940904504	22.6156487049488	14.9941825927874	8.69178700071637	502.867744926788
Vertebrae7	57936816	29866725	25717797	2556036	2614248	1284633	1218483	121716	329.067670881696	345.333238997093	317.525150405922	251.05040804921	111.907989298122	116.285806201165	106.209416251521	51.7649886259336	67.8718374131615	81.2561806744479	58.7884845749269	45.5674691899069	21.4771986881058	22.3538339758945	13.1567119154341	7.259498962473	529.800522922406
Vertebrae8	48546162	26588331	18818352	3139479	2228814	1184967	895230	149499	321.127748591697	338.791426024625	305.749270937221	263.713732910156	107.685534281959	116.819647432838	93.6732156756136	61.8738407676533	64.3537394973677	75.7974130029916	55.0755432188068	48.997033059597	19.686926637973	20.7372740006734	11.2439783903244	9.83403719662816	485.96122828059
Vertebrae9	40461309	26847639	10455669	3158001	1864548	1216719	497889	150381	316.469417424533	335.360584995213	276.321608475853	288.790184332615	104.681683114772	112.058163791823	75.5547529115552	75.1577549971346	65.2080502437019	76.2441606028849	49.9645496032285	52.4428454388349	20.082721329133	18.8181548744176	9.60457725198952	9.01334550493612	545.552147232617
Vertebrae10	46147563	29885247	12233781	3658095	2142378	1373715	579474	174195	316.376303573507	332.406616432987	288.464785388193	282.736658431196	106.705833659818	111.790990922892	93.9758663237018	73.8551681301034	63.8645126745724	71.5913149435654	54.6387505858747	50.5522967283726	18.1696970484211	17.0833314064239	15.2806529350785	9.03127379601789	611.431920133813
