Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	108724140	45499293	57834945	5260248	4608009	1703583	2659230	243432	578.548155236297	592.150143010452	574.620764220595	506.801389552157	174.079845304242	185.328160856929	166.222793417533	134.897526547897	86.3311298435782	106.24079952658	75.8406627235448	67.8066299923217	32.7014440755915	41.6518725951528	17.8079562312347	22.6993030011114	539.656451858501
Vertebrae2	95249385	42461685	46897704	5862213	4209786	1701378	2232783	274743	534.455279046634	560.755065573989	516.570030773	487.758796618132	138.714808066034	149.142665125137	125.846413933952	122.559896593363	70.6823948531796	91.5830480293003	57.7851568514361	61.4803738332376	25.7336612876488	28.479186427494	11.0941485382565	19.7972080992026	624.811604028097
Vertebrae3	87201576	43341480	38238669	5908518	3945627	1863666	1819125	279153	520.242795951305	534.071367275766	515.012239731726	449.832139394348	126.894102063473	127.940372248369	126.592357413517	89.887687978201	69.3625646574223	81.6151119349919	61.2794670910518	53.5311463653169	20.5353755946481	22.213803177964	12.3939145758674	14.1929246440502	663.096966504484
Vertebrae4	89479782	44804718	39988998	4686066	4038678	1914381	1902915	221823	530.049517871463	545.299173728158	522.481037782769	448.829877532114	132.305998910608	137.911056231384	126.640226298775	79.2566551732637	72.0894271372788	86.1953046388913	61.9431874555573	55.8962290466209	22.4541458639541	25.0160333707283	11.201254025358	13.7538847328375	651.771898796025
Vertebrae5	92952657	49592655	39340728	4204494	4143636	2079315	1872927	200214	533.215926607101	550.229992713531	520.028048056392	452.000725890307	134.205916353347	139.647077283393	126.613520393191	84.9630322017659	73.2021345168785	89.2033310838825	60.9628551303087	50.7082334056826	25.2739090570752	27.7796780447948	11.1415593326552	9.88636676692233	667.888889941101
Vertebrae6	88294374	49731570	33848955	4982418	3935925	2099601	1611855	237258	525.151281543307	548.925793516498	499.268908715987	459.97927797543	128.5251495528	137.269618214542	110.379547166905	89.5430887300376	70.5492500563156	86.5888224949666	56.5024597625762	49.7764654856515	24.3371740229521	25.0842610411897	9.060176838406	9.82608399508109	640.021443284928
Vertebrae7	94286241	57038499	33330339	3908142	4102623	2328921	1587159	186102	524.823924384965	547.863868241717	491.675563661143	471.559677287748	128.700777369086	137.761852960021	104.83751702122	94.6270480740012	73.9609592489211	92.1601954451119	54.7722618493311	51.1969871290268	27.9423663144649	27.4313464622473	8.02348722789005	9.340480078351	651.719371849582
Vertebrae8	71198568	44425017	22856148	3917403	3187989	1913058	1088388	186543	522.457432287083	548.259382888536	483.738918712548	455.756095329122	125.380267358267	133.409806514389	97.543793416727	87.5261627377667	71.1126854748444	85.1643122851915	55.0401075448143	50.072766603475	24.3761784533579	24.3460345193263	7.77602886391727	10.5523524702922	657.736264096305
Vertebrae9	55556739	41313321	12020778	2222640	2529576	1851318	572418	105840	502.479204958598	529.35063620617	425.695679946124	418.277374420166	122.161828511873	127.145950544291	55.576504628834	58.8934700276894	67.0698184403122	78.0170644478049	48.5498433448948	43.5396511945148	22.7156798540174	20.9216802829667	8.37161696898083	4.87929617507266	682.555728418821
Vertebrae10	50583582	42554295	4973157	3056130	2234988	1853523	235935	145530	525.325663127596	543.692450056532	422.486307718117	436.929747722834	135.31841444795	137.160832042196	65.2843914274159	67.0036916768459	73.2696484766166	82.1712778286047	46.5841634863386	46.365965070476	25.5170713887417	22.7051376626723	11.485442692307	7.42445856936038	662.761701884942
Vertebrae11	44749152	39507426	3343221	1898505	1963773	1715490	158319	90405	547.614904430061	559.124099567655	485.889776486891	416.807805554497	148.336425724051	150.170902096007	106.002119415716	55.3640384112544	78.48685312036	83.3645258416227	62.3876512955811	44.9947724752315	23.2938551002213	21.378144930301	18.5444491150591	7.59056661644508	612.855849166601
Vertebrae12	45415944	40905837	2231901	2278206	1992438	1777671	106281	108486	546.015844594436	557.007852861912	444.439657291397	448.162838995212	149.429739173068	151.733598458514	71.1517823354637	70.5541653478111	78.0685223193981	83.6329486755513	49.4761574493872	45.5689283948745	27.0347697646528	25.4984152110401	9.2057343246628	6.86835300036645	687.136061346483
Vertebrae13	39775995	32543154	4463802	2769039	1789137	1461915	195363	131859	531.31534277412	540.558726718197	515.529988023433	448.129021069581	133.240582868792	133.377606897144	142.2694631858	71.2226732699127	72.5828043022522	76.3863402109512	70.5668989609563	46.6167614929738	23.7849640810364	21.2871500935591	31.5200366702338	7.51441918459	565.629395295541
Vertebrae14	45397422	33960087	6204870	5241726	2016693	1493667	273861	249606	539.607556106325	549.483998633558	540.259529500204	474.636759441255	139.718639055152	141.721250359142	147.779125823512	91.2031366147031	75.1672996135643	78.9510929913279	78.3471176438034	53.747686725479	25.0434168362041	25.060619598467	25.0829643438374	9.26967125374953	593.52951595208
Vertebrae15	43100694	32181975	6482700	4556412	1947456	1430604	305613	216972	524.130144386413	539.316866763855	492.132729110282	459.75127863442	136.264583425723	141.912656101563	117.819951422781	82.5955082229454	71.8480367503945	77.9364189699145	61.1996176144399	53.586877896157	24.1819583007115	25.0814713454572	16.5469862942514	9.39411560726013	569.661061006248
Vertebrae16	40757661	31496661	4519368	4741632	1850877	1414287	210798	225792	515.88838665734	526.838890215539	492.612582883241	465.333561736107	130.333952745288	134.780867848218	117.166811109377	91.8626108574414	70.366680758299	75.6908291421659	60.6355957447399	53.1105855682951	23.2467149658236	23.685860103329	18.4666731126009	9.92013448850862	610.349370541895
Vertebrae17	36543906	27644085	4371192	4649022	1681974	1258173	208152	221382	509.180657070093	524.987037384187	448.23604860364	471.205714933722	121.341968163911	126.285533999096	76.7887734503248	95.7957443306301	67.920743733609	74.615333023519	51.7670066648468	52.5994841732826	21.3136225731805	21.3297493902626	9.37297405452497	10.4862043289478	544.899644158294
Vertebrae18	35821548	28949886	3324699	3546963	1618029	1290807	158319	168903	519.762737995704	536.082078479496	453.474675352134	448.70048247797	129.558449927101	133.504010886387	88.1273192027619	73.9102147202029	73.9887979573599	83.2451380671724	49.5691138054306	48.1029533171654	28.0799885252012	27.0940419820066	8.51014550035645	8.05019432680341	567.560654189138
