Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	124375230	43156260	69003711	11159505	5101488	1438983	3131100	510237	522.628761787211	579.027410688906	503.330655185297	436.094229074008	190.040436931722	221.612401315872	167.061894016401	123.785837258776	87.2987139821862	120.12322464588	75.0048991289084	71.1492588919746	34.2575097737519	41.7317404910818	17.3759517203214	24.8563668386423	464.880349874632
Vertebrae2	108298134	48110895	51713424	8066331	4692240	1844262	2451960	383670	466.13919850706	493.145386460135	452.986744348739	395.127803355798	141.743174463653	151.543887971955	131.861783369493	100.092831171144	75.6859027277805	100.553230545448	62.1307259155917	57.6047691343768	30.6506360062067	36.1199773223047	13.0105743010274	12.5412701812299	573.346766241594
Vertebrae3	103186062	51333723	45267768	5945562	4514076	2059911	2145024	282681	456.741674227072	478.976013203766	443.947109577934	373.565801167996	133.353829314271	139.360208833508	126.287630642271	73.8510035948893	74.4297098202309	94.8088333304629	61.0964240473634	53.6466469904065	26.5121056665458	26.9462546427844	13.3757633875189	11.7550233914221	600.067679269689
Vertebrae4	107001594	52889571	47768238	5991867	4624767	2067849	2268945	284886	461.946516993996	488.875052064196	442.422199642612	386.186631891784	137.063218019113	146.045901842973	124.47105962897	87.9139772995879	76.3578264038893	98.7069237753869	61.2421725948099	55.0328984238541	27.6846148820653	26.6022020778315	13.8605441302088	13.9468297635602	617.49204104954
Vertebrae5	107427600	55399302	47138490	4676805	4626090	2167956	2232342	222705	459.37462902731	484.456860988116	439.29318839013	369.103215224223	136.042240368913	143.497337558998	124.381861954727	70.4622537030753	77.7248578785885	97.5682207832591	63.6416774732921	53.1955692312297	27.0020528101715	26.4887624548598	14.7141026336509	10.3769845517902	630.205809824723
Vertebrae6	104769693	59122224	40785444	4732371	4538331	2373903	1941282	224910	453.810521433876	476.188724777795	431.792408009542	367.628643664575	131.944168113284	139.750506587994	116.777378572285	74.5757428281816	75.6719049665823	95.1630287697054	59.1287122268886	52.2655205941697	26.8069636580622	24.8169425524764	12.5712997839014	13.9560216772471	706.989098830652
Vertebrae7	98472213	54186111	38914722	4945374	4297986	2195298	1852641	235053	451.643307693118	479.072336677516	424.667942907523	368.333093664962	131.569464155709	140.975254028703	111.909421396859	77.5103851047114	72.9428588340771	91.8126292152544	57.2264910005894	52.7667745728147	26.3578729203281	26.203098185617	10.7444616833189	14.0127738937064	662.693003637265
Vertebrae8	91359765	53380404	34460181	3454353	3944745	2139732	1639638	164493	451.440683987444	476.355223445344	421.893944901378	362.700287056358	130.802016241156	141.071065565343	106.653637413376	71.5490210009563	76.5244224432904	95.3946993550596	58.1128157539301	53.3360090541113	29.3506447713626	29.6871995917176	11.0190925667461	12.824811740536	701.463257239055
Vertebrae9	63891639	41952330	17818164	3908142	2927358	1882629	848484	186102	416.400989074327	437.800332917594	380.739994815819	350.861613739448	102.109420468516	108.017863317498	76.8050804654275	53.4654942581559	67.7574644117568	80.20497844226	52.2342104569921	51.6512623670939	20.5048329871713	18.2176175877011	9.72883630170415	8.79619419224954	734.659247731213
Vertebrae10	56353185	42674688	10409364	3102435	2532663	1891008	493920	147735	415.830641762731	433.107271535873	363.813039253642	355.559015913596	109.027237200019	113.58833597927	70.7103643821849	67.6377531381164	71.5906629954775	82.1597878907255	51.6150623262407	51.9768832658319	23.5674540043548	19.3038895720519	18.4431628879593	11.8671952004098	732.756504082076
Vertebrae11	46203129	38359062	4176711	3463614	2071818	1708434	197568	164934	439.642201826783	448.530331351051	401.057595565085	390.113336756742	118.234267554926	118.877890172485	117.971841706628	88.4107012510581	77.0645568128732	82.5423442977267	59.5405920084705	57.1954800400241	20.8189922433003	18.6587227904774	20.2595245406707	10.715861530479	686.714415333056
Vertebrae12	48296115	39285162	4602717	4500846	2169279	1749888	216090	209916	449.643484887157	463.823197706425	392.081309939225	393.367823120117	130.14487071996	132.577220034197	95.4336059315556	111.95636223842	76.0167624427274	80.9880940678447	62.3447057045311	62.2438507486304	22.4361468000707	20.9575216313588	19.2092119418533	24.8137845596698	679.871056800058
