Row	VertebralVolumes	CentrumVolumes	HaemalVolumes	NeuralVolumes	VertebralSAs	CentrumSAs	HaemalSAs	NeuralSAs	VertebralTMDs	CentrumTMDs	HaemalTMDs	NeuralTMDs	VertebralISs	CentrumISs	HaemalISs	NeuralISs	VertebralMTs	CentrumMTs	HaemalMTs	NeuralMTs	VertebralTSs	CentrumTSs	HaemalTSs	NeuralTSs	CentrumLength
Vertebrae1	240924915	84589974	142999101	13771107	8693433	2801673	5352417	594027	591.74693263926	607.191334330058	587.683766269148	535.035074780421	190.652895024803	207.00646881077	181.055911045924	169.437033321543	102.828575897967	116.078787366112	97.6139478173073	86.7901154343774	28.5665835019028	34.4127388626183	23.0907809245938	19.488749079095	492.161943051676
Vertebrae2	243832869	96407010	134849421	13150620	8832789	3161529	5121774	591822	602.058075043379	622.727993208528	595.257716673321	514.772405068153	197.763088560436	207.561365239388	190.039062983039	170.795518790494	106.463192328496	124.457494373888	98.4855864850217	78.2896234297841	33.7601808979835	40.0959075536912	24.3912485382877	19.4585506872876	567.399397842771
Vertebrae3	251612109	100565199	137544372	14928732	9458127	3551814	5318901	661500	597.39593973232	599.7771814908	602.666108708068	520.726017706556	196.100635856881	197.901728774953	196.357584188515	161.406170129188	101.599723300392	111.981886259647	97.2409840624751	80.6373853121417	28.4013063993099	31.156199580405	24.8130906179247	19.0824079945059	568.490010665049
Vertebrae4	246425949	108761184	126847917	11215071	9356256	3801420	5085612	490392	578.765860135333	594.691629351229	568.945933524502	532.440772879263	189.179030922859	194.016228731993	185.590423636149	164.427556881768	102.083844386484	112.491855747432	96.439250782315	80.4569899837961	29.7895605890078	32.0824839016037	26.2341239016658	15.6766816950583	621.720704661457
Vertebrae5	256038867	116716383	128829771	11344725	9575874	3989286	5131917	508032	597.274909389653	608.833023421925	591.881610444438	534.459666371173	197.447408049859	201.009286212915	195.624078543733	161.816102142354	105.773335243058	115.459536794603	100.591806337683	79.1073530429565	29.742350660985	31.6316084931579	26.0379869306081	18.3897581958778	643.42160110918
Vertebrae6	281460312	122328549	148500135	10631628	10164609	4148928	5550867	485100	609.349216450964	617.194667754053	609.083006703978	522.797044874663	200.955647420883	202.97045653331	200.881810614101	152.608039292226	111.611032448289	117.514615175382	110.066534837323	78.3584827379948	30.7414854283427	31.6486216295826	28.826475971209	19.1807379390585	653.558255359215
Vertebrae7	262873485	118198143	131478417	13734063	9817542	4110120	5119569	622251	596.409131022288	608.630734932088	593.218461679638	519.421982319313	198.650685990355	202.449393608785	197.96993418204	145.85471250163	108.161924158997	114.732380804787	106.415592693942	77.3367018078371	32.3197427541845	32.0874752617555	31.194037207592	21.6221070129168	641.631184306925
Vertebrae8	235831365	103223106	121661757	10946502	8566866	3661182	4393683	513324	614.383628487563	613.573110473523	622.272745173108	534.345310286623	209.125793013397	206.496833009494	213.793011299633	158.28500842148	112.676937931752	111.836952712964	117.966075007625	70.141394365869	31.97389648371	30.3773906684803	31.0576958592056	14.5693369480312	683.916669603048
Vertebrae9	208391022	98194383	99213093	10955763	7795116	3534615	3758202	504945	607.175121619224	623.747166436694	600.548856211085	518.928570703992	204.284761913364	209.528465513701	201.49582325502	148.35659188127	109.291819453027	110.189577228531	112.608441734422	77.1518044524555	28.650796754419	26.5750403363715	29.1059446887395	17.4347582066854	709.546006252987
Vertebrae10	183960504	90924498	84339927	9112824	6923259	3296034	3232089	421155	599.118377193431	614.665621506909	592.303213114204	502.501114799686	202.155017178274	205.445202897101	201.010923275464	138.418162483151	108.249145968383	112.028060083536	108.001667186859	78.9798654629733	30.0014734484892	31.6852087356221	27.3796202408256	18.7184566847067	631.476606920325
Vertebrae11	98833392	87321969	3408048	8103375	3757761	3230766	160083	369117	594.222867560025	607.472892282018	469.814916306869	503.763030940011	198.795089630544	201.815750914837	117.363656315491	144.096303810712	103.007879731055	107.934663731985	64.4264607975815	77.9743841214453	30.0474469808228	28.437992056482	14.9186134212051	22.5833537060036	630.684453105329
Vertebrae12	100268847	82339551	11066895	6862401	3865806	3038490	517734	310464	585.12571501057	604.423445052543	484.214976920437	516.316287499803	198.345721207203	201.896220925935	138.854464796751	170.539255792038	98.6230861750732	106.359453082694	66.3471928409241	79.6555012811283	29.4693259947443	27.4215907307603	16.4952226104893	17.1876566974603	632.284728056985
Vertebrae13	97221978	79589034	10187100	7649586	3691611	2896929	482454	328545	601.059002635407	617.195103357278	504.621918621493	558.569012239544	204.689978274739	208.578791465437	139.550845331475	194.533827880948	100.531009822931	106.848571932193	66.9650170867325	92.7165215935026	30.6363182228056	29.4540527415125	14.921353270012	23.6542085769629	619.935284487695
Vertebrae14	94971555	75486411	12344913	7140231	3729978	2826369	583002	324576	593.606940276013	613.10461442863	518.499483562724	517.332877734945	197.787620249423	203.450300147022	147.038912320748	160.715473852236	98.2586643981644	106.445431123963	68.2432119551214	80.3056937615077	29.6638968277732	28.3189662735307	13.6147179467055	17.2253514681706	599.479637158282
Vertebrae15	94527027	75467889	11261376	8251551	3555783	2740815	471870	374409	600.530289986991	618.227945255397	547.861635129427	505.338500668304	205.420213239916	210.050497405734	180.007800280988	147.376510536226	105.702689555999	112.312296219591	88.6251632240892	78.7505505118005	31.5159076157823	30.7748869362778	26.3543342389339	17.0904928370515	568.094527138573
Vertebrae16	87368274	68624010	10983546	7927416	3406725	2570589	487305	361620	606.365662410268	626.84855324114	527.673364446579	535.602988595838	205.199326273753	209.911817090243	169.586345763141	162.08816828674	98.1597735099389	104.652713118515	77.3768446509455	80.3820774331078	24.3992062299124	22.5008133664281	19.8746081180296	16.9260421947566	548.542861055841
Vertebrae17	89414955	71865360	10372320	7177275	3563721	2744784	485100	334719	585.200813426394	603.5160510566	513.807309724208	504.987239408392	195.159070614562	200.338254459832	152.736421739887	147.673796441859	97.4892083390369	104.107854891513	74.3843869701238	75.2261077922124	26.0957342403552	24.6337888858103	16.5688076882164	16.1253544486433	590.366248860814
Vertebrae18	82784079	66345804	9807399	6899445	3378942	2614248	450261	328104	576.839703609949	596.784117027398	500.111970651254	491.40188694585	194.912087982579	201.692853767342	141.059339375147	132.984189702314	92.9464493349855	98.8422057208973	78.2579334882876	67.0974879561618	24.9165489949962	24.1757006576202	16.3356443902384	12.1706891839195	573.627750595042
Vertebrae19	76588470	63354501	6992055	6732747	3067596	2447109	332955	313551	574.08756824498	599.077545510153	433.75131868468	478.185441172856	199.361546431545	204.440508377551	96.6430984486367	124.189547964262	93.1843615904238	100.498828475336	61.8929026863388	71.1268656868245	26.5928894452819	24.287366734562	11.2441050561126	16.3667131440492	571.897675194743
Vertebrae20	72874809	61798653	5278770	5797386	2885904	2359791	251370	275184	581.587594249823	602.837872214719	455.055456171618	470.278031701621	198.765344078204	203.487323957168	105.578937859672	115.518177363273	96.4165467691395	104.311331059739	61.2489290634106	65.9362742838006	29.9442644730672	27.3805058962289	11.8816884563517	14.0696102926892	558.324795877099
Vertebrae21	69022233	60187239	4417497	4787937	2818872	2398158	210357	227997	575.869559368232	592.761075918531	448.585276919959	471.058396181678	201.551513834995	205.794814396016	105.834739703251	124.634164394442	91.8794564788132	97.1333884845517	62.9955056982932	65.6923978144079	28.1644078152231	27.2254895641749	12.0504149776784	12.6745136321155	588.383295448326
Vertebrae22	64965915	57455244	3241350	4269321	2705094	2351412	153468	200214	571.109764515457	586.773537065694	443.613875639648	457.108715068296	196.744943653154	199.857221835751	101.877122860251	122.572517364549	88.30109034092	92.4569851827621	61.4046379881358	65.8261035733921	25.3145295772797	24.3583461323542	14.5885493857088	14.8071660178658	579.434086543227
Vertebrae23	58047948	48925863	4797198	4324887	2485476	2060793	223587	201978	557.381997213572	571.589132530927	483.530301927014	478.578747271062	187.65426509699	192.51136670425	134.788095083828	137.015405775243	86.896591922729	90.5969065034845	69.8962205440691	71.8826046696321	25.4175477850541	25.518355172676	17.5326014520774	17.4669941253279	542.190446522376
Vertebrae24	55954962	45452988	4871286	5482512	2403450	1926729	227997	243432	552.954543482852	567.427969082634	499.879461740008	482.835183487763	182.044524587974	186.636302087732	147.987799622882	142.653360989354	85.8597830062612	89.0609278251551	71.8465402251796	76.5493606175445	22.155430135654	21.6039888345143	18.4830654035805	21.3053621135021	492.267071157061
Vertebrae25	55436346	46925487	5176899	3333960	2355381	1964214	239022	152145	547.539454599795	555.799223770711	516.476897928692	479.516451239014	179.561824023758	181.842993074198	161.075274666038	153.201661803151	87.1399621157939	90.0644321985734	73.7910247268233	73.6549869966641	23.2866314767059	22.8863312781186	18.6370082803342	22.3849102919013	468.665950161459
Vertebrae26	47110707	43332219	1018710	2704212	2007873	1831914	48510	124803	552.749558905081	559.885900553837	392.259130251243	501.007825892618	176.661732361912	177.382726468555	68.6209184049584	155.820416224296	85.200421781233	87.4138937757557	52.5758549781154	72.2255795848513	20.0285434353176	18.9961665867129	8.5087917974929	18.5348312427572	459.213200703579
